Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
1839514425,MNQH6,12/26/2025 19:18:12 +04:00,12/26/2025 19:20:49 +04:00,25860.750000000,25879.250000000,0.74000,37.000000000,1,Long,12/26/2025 00:00:00 -06:00,00:02:36.7758070,
1845811738,MNQH6,12/29/2025 19:47:01 +04:00,12/29/2025 19:47:51 +04:00,25744.000000000,25730.750000000,0.74000,26.500000000,1,Short,12/29/2025 00:00:00 -06:00,00:00:50.1085110,
1845811739,MNQH6,12/29/2025 19:47:01 +04:00,12/29/2025 19:47:51 +04:00,25744.500000000,25730.750000000,0.74000,27.500000000,1,Short,12/29/2025 00:00:00 -06:00,00:00:49.7040830,
1845811741,MNQH6,12/29/2025 19:47:02 +04:00,12/29/2025 19:47:51 +04:00,25744.500000000,25730.750000000,0.74000,27.500000000,1,Short,12/29/2025 00:00:00 -06:00,00:00:48.6167710,
1851167910,MNQH6,12/30/2025 19:05:01 +04:00,12/30/2025 19:05:51 +04:00,25736.250000000,25736.250000000,0.74000,0.000000000,1,Short,12/30/2025 00:00:00 -06:00,00:00:49.8303140,
1851167911,MNQH6,12/30/2025 19:05:02 +04:00,12/30/2025 19:05:51 +04:00,25736.750000000,25736.250000000,0.74000,1.000000000,1,Short,12/30/2025 00:00:00 -06:00,00:00:48.8664430,
1870043453,MNQH6,01/05/2026 18:47:36 +04:00,01/05/2026 18:48:42 +04:00,25603.250000000,25575.250000000,0.74000,56.000000000,1,Short,01/05/2026 00:00:00 -06:00,00:01:05.9160350,
1870088168,MNQH6,01/05/2026 18:47:40 +04:00,01/05/2026 18:50:01 +04:00,25601.250000000,25600.250000000,0.74000,2.000000000,1,Short,01/05/2026 00:00:00 -06:00,00:02:21.4004340,
1877385034,MNQH6,01/06/2026 18:39:03 +04:00,01/06/2026 18:42:51 +04:00,25635.500000000,25634.750000000,0.74000,1.500000000,1,Short,01/06/2026 00:00:00 -06:00,00:03:48.6849120,
1877385035,MNQH6,01/06/2026 18:39:03 +04:00,01/06/2026 18:42:51 +04:00,25635.500000000,25634.750000000,0.74000,1.500000000,1,Short,01/06/2026 00:00:00 -06:00,00:03:48.2394000,
1885676192,MNQH6,01/07/2026 19:07:01 +04:00,01/07/2026 19:13:18 +04:00,25863.000000000,25861.000000000,0.74000,-4.000000000,1,Long,01/07/2026 00:00:00 -06:00,00:06:16.6494260,
1885676193,MNQH6,01/07/2026 19:08:08 +04:00,01/07/2026 19:13:18 +04:00,25858.000000000,25861.000000000,0.74000,6.000000000,1,Long,01/07/2026 00:00:00 -06:00,00:05:10.1008780,
1885793996,MNQH6,01/07/2026 19:15:07 +04:00,01/07/2026 19:17:18 +04:00,25853.500000000,25828.000000000,1.48000,-102.000000000,2,Long,01/07/2026 00:00:00 -06:00,00:02:11.2741080,
1893245473,MNQH6,01/08/2026 18:58:04 +04:00,01/08/2026 19:00:11 +04:00,25629.000000000,25591.500000000,0.74000,75.000000000,1,Short,01/08/2026 00:00:00 -06:00,00:02:06.7609940,
1901016160,MNQH6,01/09/2026 18:50:05 +04:00,01/09/2026 19:08:19 +04:00,25719.250000000,25660.750000000,0.74000,117.000000000,1,Short,01/09/2026 00:00:00 -06:00,00:18:14.4135630,
1908238308,MNQH6,01/12/2026 18:50:00 +04:00,01/12/2026 18:51:15 +04:00,25872.750000000,25923.750000000,0.74000,102.000000000,1,Long,01/12/2026 00:00:00 -06:00,00:01:15.3156040,
1915616182,MNQH6,01/13/2026 18:36:02 +04:00,01/13/2026 18:40:23 +04:00,25989.750000000,26032.250000000,0.74000,85.000000000,1,Long,01/13/2026 00:00:00 -06:00,00:04:21.5775220,
1915619614,MNQH6,01/13/2026 18:36:02 +04:00,01/13/2026 18:40:28 +04:00,25989.500000000,26031.750000000,0.74000,84.500000000,1,Long,01/13/2026 00:00:00 -06:00,00:04:25.8527650,
1924880923,MNQH6,01/14/2026 19:07:59 +04:00,01/14/2026 19:09:48 +04:00,25558.000000000,25591.250000000,0.74000,-66.500000000,1,Short,01/14/2026 00:00:00 -06:00,00:01:48.6715050,
1924880924,MNQH6,01/14/2026 19:08:00 +04:00,01/14/2026 19:09:48 +04:00,25559.000000000,25591.250000000,0.74000,-64.500000000,1,Short,01/14/2026 00:00:00 -06:00,00:01:47.8319570,
1924880925,MNQH6,01/14/2026 19:08:33 +04:00,01/14/2026 19:09:48 +04:00,25574.750000000,25591.250000000,0.74000,-33.000000000,1,Short,01/14/2026 00:00:00 -06:00,00:01:15.1848400,
1933375656,MNQH6,01/15/2026 18:57:06 +04:00,01/15/2026 19:07:32 +04:00,25896.250000000,25851.250000000,0.74000,-90.000000000,1,Long,01/15/2026 00:00:00 -06:00,00:10:25.7520820,
1942095514,MNQH6,01/16/2026 19:24:32 +04:00,01/16/2026 19:29:51 +04:00,25719.000000000,25668.000000000,0.74000,-102.000000000,1,Long,01/16/2026 00:00:00 -06:00,00:05:19.1850610,
1942095516,MNQH6,01/16/2026 19:25:28 +04:00,01/16/2026 19:29:51 +04:00,25705.000000000,25668.000000000,0.74000,-74.000000000,1,Long,01/16/2026 00:00:00 -06:00,00:04:23.5333590,
1955120844,MNQH6,01/20/2026 19:14:02 +04:00,01/20/2026 19:18:48 +04:00,25289.750000000,25261.500000000,0.74000,-56.500000000,1,Long,01/20/2026 00:00:00 -06:00,00:04:45.7033470,
1955120845,MNQH6,01/20/2026 19:14:03 +04:00,01/20/2026 19:18:48 +04:00,25291.250000000,25261.500000000,0.74000,-59.500000000,1,Long,01/20/2026 00:00:00 -06:00,00:04:44.8019940,
1955120846,MNQH6,01/20/2026 19:14:31 +04:00,01/20/2026 19:18:48 +04:00,25284.250000000,25261.500000000,0.74000,-45.500000000,1,Long,01/20/2026 00:00:00 -06:00,00:04:16.5031440,
1970655213,MNQH6,01/22/2026 18:21:21 +04:00,01/22/2026 18:29:00 +04:00,25722.250000000,25722.750000000,0.74000,1.000000000,1,Long,01/22/2026 00:00:00 -06:00,00:07:39.6056210,
1970639087,MNQH6,01/22/2026 18:21:21 +04:00,01/22/2026 18:26:53 +04:00,25722.250000000,25736.000000000,0.74000,27.500000000,1,Long,01/22/2026 00:00:00 -06:00,00:05:31.9584460,
1970638115,MNQH6,01/22/2026 18:21:21 +04:00,01/22/2026 18:26:47 +04:00,25722.250000000,25731.500000000,0.74000,18.500000000,1,Long,01/22/2026 00:00:00 -06:00,00:05:26.7572160,
1980643138,MNQH6,01/23/2026 19:16:06 +04:00,01/23/2026 19:20:04 +04:00,25702.000000000,25676.000000000,0.74000,-52.000000000,1,Long,01/23/2026 00:00:00 -06:00,00:03:57.2207820,
1991167386,MNQH6,01/26/2026 20:20:01 +04:00,01/26/2026 20:21:19 +04:00,25864.250000000,25863.750000000,0.74000,1.000000000,1,Short,01/26/2026 00:00:00 -06:00,00:01:17.7052400,
1991167387,MNQH6,01/26/2026 20:20:02 +04:00,01/26/2026 20:21:19 +04:00,25864.500000000,25863.750000000,0.74000,1.500000000,1,Short,01/26/2026 00:00:00 -06:00,00:01:17.0530340,
1997980389,MNQH6,01/27/2026 18:32:03 +04:00,01/27/2026 18:34:03 +04:00,25998.500000000,25967.250000000,0.74000,-62.500000000,1,Long,01/27/2026 00:00:00 -06:00,00:02:00.2636520,
1997980390,MNQH6,01/27/2026 18:32:04 +04:00,01/27/2026 18:34:03 +04:00,25997.000000000,25967.250000000,0.74000,-59.500000000,1,Long,01/27/2026 00:00:00 -06:00,00:01:59.2747820,
2025715691,MNQH6,01/30/2026 18:33:26 +04:00,01/30/2026 18:39:31 +04:00,25831.750000000,25916.500000000,0.74000,-169.500000000,1,Short,01/30/2026 00:00:00 -06:00,00:06:04.4601750,
2026266181,MNQH6,01/30/2026 18:43:43 +04:00,01/30/2026 18:59:01 +04:00,25883.750000000,25838.000000000,0.74000,91.500000000,1,Short,01/30/2026 00:00:00 -06:00,00:15:18.0354640,
